src,dst,type,explanation,link
roman_empire,parthian_empire,treaty_signing,Peace treaty maintained between Augustus and Phraates IV continuing from 20 BC,
roman_empire,germania,military_occupation,Roman occupation of Germanic territories up to the Rhine River,
roman_empire,nabataean_kingdom,tributary_relationship,Nabataean Kingdom acting as client state of Rome providing trade access and military support,
roman_empire,mauryan_empire,trade_route_establishment,Active trade along the Silk Road and Indian Ocean routes connecting Rome to India,
parthian_empire,kushan_empire,trade_route_establishment,Trade routes established through Central Asia,
han_dynasty,xiongnu,tributary_relationship,Xiongnu confederacy maintaining tributary relations with Han Dynasty,
han_dynasty,koguryo,diplomatic_mission,Early diplomatic contacts between Han China and Korean kingdom,
han_dynasty,nanyue,military_occupation,Han control over southern regions including modern Vietnam,
ptolemaic_egypt,roman_empire,vassalization,Egypt functioning as a Roman province after Cleopatra's death,
axum_kingdom,himyarite_kingdom,trade_agreement,Trade relations across the Red Sea between African and Arabian kingdoms,
han_dynasty,parthian_empire,trade_route_establishment,Silk Road trade routes actively maintained between empires,
roman_empire,gaul,cultural_exchange,Romanization of Gallic territories through cultural assimilation,
parthian_empire,kushan_empire,border_skirmish,Territorial disputes in Bactria region,
roman_empire,judea,rebellion_suppression,Roman suppression of Jewish unrest in Judea,
han_dynasty,xianbei,military_raid,Xianbei raids on Han northern borders,
roman_empire,armenia,political_union,Armenia maintained as a buffer state between Rome and Parthia,
han_dynasty,kingdom_of_dian,vassalization,Dian kingdom serving as vassal state to Han Dynasty,
roman_empire,morocco,military_occupation,Roman control over Mauretania region,
parthian_empire,armenia,political_union,Parthian influence over Armenian royal succession,
